zip_code,Median,Mean,Pop
10001,71244.61,123112.7764,17678
10002,30843.9574,46258.6118,70878
10003,89998.5339,139330.9968,53609
10004,110183.6857,156682.7615,1271
10005,115133.2855,163762.6601,1517
10006,111220,156776,972
10007,145458.7823,256235.5719,3520
10009,56615.2777,78138.2679,56975
10010,93702.0061,137105.706,27322
10011,92359.4888,160936.5432,45899
10012,81316.7066,135998.6472,26464
10013,69836.0955,137738.4104,24723
10014,98449.9155,162205.491,32867
10016,96760.4462,144872.3901,49904
10017,102523.5025,149723.7834,16231
10018,84799.0772,112292.3727,4255
10019,84786.4665,133175.3716,39048
10020,113846,147680,1
10021,113800.3846,198530.1081,44173
10022,93106.6559,158965.178,26460
10023,108285.5918,194365.9259,59002
10024,110998.9883,191408.2026,61485
10025,65001.2415,112009.46,96117
10026,31541.8106,50331.7923,25925
10027,38550.3989,57766.9366,57049
10028,105456.4514,192257.802,40914
10029,32876.522,56937.3035,76271
10030,28525.1218,51240.6723,26058
10031,31526.0287,51413.2034,59450
10032,29535.9721,40902.4289,54744
10033,36462.7783,53967.0876,59049
10034,37865.7046,46838.4098,37785
10035,23301.5744,37221.7427,31078
10036,62393.3306,89879.286,18660
10037,40079.7036,52944.5133,16994
10038,55937.3774,89760.0452,15435
10039,28691.9104,37075.3337,21738
10040,37107.0105,48179.6812,46585
10044,102485.7479,117866.0277,9519
10065,108154.9505,191673.5228,31500
10069,54236.0986,108783.6728,1843
10075,112267.5519,188422.4971,25187
10110,36906,79288,33
10128,105186.9788,180473.0702,59434
10162,72258,116427,1726
10165,85565,151404,7
10170,104023,146411,1
10171,104023,146411,1
10199,84275.8,107615.2,10
10278,104405,143247,2
10280,98937.8355,138990.0141,4298
10301,56776.4674,75009.8666,38618
10302,59919.3561,70774.0271,16580
10303,54757.9811,66352.86,22842
10304,46260.4767,65695.4113,36662
10305,58937.658,75468.7376,37014
10306,75212.0632,91445.7035,54812
10307,92780.8404,110791.465,11662
10308,75667.7216,85725.9159,23972
10309,84917.1256,98955.8089,27255
10310,65263.1506,77595.8957,22793
10312,84524.3656,99002.3527,55963
10314,78413.7436,90427.5476,85260
10451,22970.4247,30636.7225,37570
10452,27673.4674,35200.996,71254
10453,26324.188,35179.332,77913
10454,18024.1362,28294.0413,30078
10455,22828.7877,33950.7416,37013
10456,21955.2481,30836.9021,75975
10457,25474.4498,34687.9858,68492
10458,25642.1721,34873.0857,77840
10459,22843.1774,33743.8935,38847
10460,23644.951,33567.5699,53752
10461,47715.8304,58036.9104,48081
10462,46085.2485,51310.3756,71130
10463,52301.5618,65039.2853,62456
10464,1520.168,1673.4115,109
10465,61446.3421,73646.2435,41282
10466,48469.7389,57368.0989,68662
10467,35375.4334,45203.2333,94492
10468,28765.1143,38638.4808,76073
10469,57183.0515,66926.4874,63256
10470,53207.5286,65711.6553,15778
10471,56909.8136,79166.6142,18127
10472,32631.8405,42815.4756,64864
10473,36132.1114,49073.3332,52624
10474,24244.2862,31476.2226,11365
10475,47895.0222,57491.3976,38149
10501,156899.772,192610.3,1134
10502,123762.7309,164349.7771,5184
10503,115875,199102,109
10504,171989.4688,287442.4559,7139
10505,123681.928,149436.528,185
10506,186802.9389,302811.3917,5506
10507,67030.6293,107826.6613,5855
10509,85831.6836,108514.6348,18988
10510,175217.0639,244705.0868,9727
10511,88452.6568,127631.7848,2213
10512,94768.3172,108953.3653,23865
10514,189956.7361,278279.3355,11974
10516,77413.5128,108343.9694,5202
10517,76820,84219,422
10518,163441.0022,227497.2262,954
10519,137961.4082,213441.131,392
10520,95299.4744,123311.6217,12434
10522,107195.4629,132831.2837,10636
10523,80389.5056,97310.6,7710
10524,83073.816,114246.672,4260
10526,158977,218303,1675
10527,158207,191959,895
10528,131615.5931,188528.2193,12301
10530,105377.0473,133485.6057,13240
10532,91258.6094,112888.504,5895
10533,113451.1884,190827.427,7547
10535,106333,130341,454
10536,131967.8549,214945.605,11160
10537,86492.672,93707.3154,1783
10538,150773.8172,248073.7891,16321
10541,95198.2853,114064.4214,26329
10543,94723.7942,146271.5996,20016
10545,112917,152224,134
10546,176042,214907,1243
10547,86362.1663,105364.4632,7332
10548,82778.2079,98134.4296,3027
10549,107169.0282,158325.3778,15655
10550,42807.4916,55141.1859,37904
10552,67770.4118,91158.421,19937
10553,56382.1114,66995.4716,10435
10560,139313.4022,215200.5299,4659
10562,84559.8181,106627.901,30926
10566,56245.0735,71247.2767,22450
10567,108722.7788,128465.3749,18741
10570,132183.0548,181360.9418,12561
10573,73394.0054,105130.3742,36472
10576,219553.9941,339448.7625,4764
10577,193532.8166,361842.2684,3419
10578,134186.325,206558.02,764
10579,92599.7348,102068.11,8097
10580,161991.5583,275650.2741,16560
10583,177857.2801,262308.9417,38273
10588,88148.2603,107894.2855,1914
10589,96884.3575,123163.7722,7404
10590,149130.5302,192346.2326,6755
10591,86347.1454,115737.3213,21538
10594,110168.664,138952.8494,5038
10595,88431.898,107036.9024,7552
10596,85121,100936,778
10597,162875,226377,920
10598,107925.4671,130656.2959,29337
10601,57211.5188,79186.5258,9319
10603,84012.3518,107929.8146,15421
10604,87092.3429,131236.8533,10782
10605,113684.2425,145134.2598,17347
10606,63803.3158,91931.3315,15706
10607,99336.9817,119663.5712,6924
10701,44416.5597,56331.2871,61035
10703,54744.9249,68860.6288,20903
10704,63087.1485,74430.3505,30497
10705,36093.9654,48376.0427,27216
10706,138152.0298,183466.5897,8664
10707,97930.7182,128238.9237,9712
10708,127636.9339,201445.4252,21427
10709,96536.2003,136311.2937,8888
10710,80117.5251,93641.5847,25538
10801,58706.578,80357.7318,36356
10803,137572.2318,218224.9077,11892
10804,158923.7624,225004.7512,14322
10805,29677.0767,41906.0257,11633
10901,86843.4561,113902.6468,22177
10910,78571,125222,42
10913,106055.1068,122840.7854,5149
10914,82100,91315,452
10915,82773,94400,113
10916,105269.229,116636.4474,3887
10917,103897,122911,1720
10918,88168.18,96443.7384,11572
10919,76795.8794,91304.8541,783
10920,95165.5624,112377.1978,8649
10921,84742.1729,98913.1689,3804
10922,75547,80086,1480
10923,80267.1143,95185.1436,8256
10924,84648.575,96934.6379,12319
10925,74809,87065,4870
10926,84067.4986,100623.6679,2901
10927,46498.7732,64351.4346,10121
10928,66151.0804,72944.3439,3881
10930,104131.4665,119779.2976,7253
10931,87256.892,109166.2928,1045
10932,76397,84642,49
10933,85941,95410,389
10940,57731.017,69069.8915,42813
10941,67488.4292,80138.9258,12765
10950,65250.8843,79973.9233,38803
10952,66192.7096,90002.3366,31623
10953,66650,101518,248
10954,93219.2738,106607.6378,22066
10956,114523.2715,138475.808,32030
10958,100108.1195,105057.5441,2916
10960,78144.5666,107534.1526,14569
10962,117728.1796,134732.693,5329
10963,76427,86709,4195
10964,79958,108530,1384
10965,103487.4907,125374.394,14569
10968,92045,129291,2408
10969,80186,89346,1195
10970,89426.0718,107337.5855,9366
10973,95946.224,103078.6496,2016
10974,87352.924,100575.808,3048
10975,78571,125222,359
10976,87985.864,119907.236,2001
10977,67394.1495,81480.9424,48755
10979,74809,87065,264
10980,66696.4888,70878.7413,9534
10983,91703.1731,109710.1206,5646
10984,105625,123510,2815
10985,82773,94400,57
10987,78461.902,124115.447,3003
10988,85941,95410,751
10989,85641.6547,103414.4829,9345
10990,91662.2756,106921.1437,19282
10992,89904.3856,89763.6472,8880
10993,54507.8906,72676.1248,4710
10994,106989.2042,134225.3928,7246
10996,92841,126289,7122
10998,86131.674,95486.398,2453
11001,96704.5377,111212.712,26707
11003,78862.7371,91207.8891,40973
11004,75303.738,84521.7605,13390
11005,57104,101012,2195
11010,82519.1491,96236.5417,23829
11020,117295.2436,166436.845,5733
11021,100154.0824,150972.276,17512
11023,93124.8713,141564.9626,8593
11024,121654.721,190653.476,7993
11030,169390.2851,243352.7844,17033
11040,98762.4917,116894.043,39784
11042,144293,222478,514
11050,114601.8098,163838.7882,28714
11096,55025.568,68940.996,7976
11101,39955.099,51519.3212,22556
11102,48399.4866,61244.8968,35943
11103,52494.8702,66421.0536,44730
11104,50944.0617,61197.7955,29376
11105,54570.0826,68394.8123,42375
11106,44030.5142,56437.4173,40963
11109,117750,151032,843
11201,92174.8101,140857.9804,48101
11203,47788.2901,60025.2785,78886
11204,42763.549,58961.3319,74185
11205,42903.7942,57436.724,35648
11206,26439.5376,38579.5696,69454
11207,34729.0604,44634.0699,87324
11208,33875.818,44514.588,84692
11209,56906.5301,78504.7606,69646
11210,55000.8962,69161.936,67349
11211,37632.4577,52060.9141,84434
11212,27911.2921,37845.6579,85400
11213,35084.8797,46614.3775,65932
11214,35963.5161,48902.3504,78896
11215,81331.0535,109383.9243,59307
11216,37290.3205,52038.2363,55021
11217,72610.5963,102949.5131,35641
11218,48010.6089,61311.5804,75418
11219,34969.9857,50736.5471,85825
11220,37030.1129,50270.5076,92398
11221,34005.1582,46669.9113,75020
11222,54366.9033,69808.6353,40003
11223,39420.9802,53995.6663,74659
11224,34958.4279,45362.8356,49491
11225,39782.409,52484.8359,61858
11226,38763.3706,49672.5306,106461
11228,55200.2725,73658.3837,40169
11229,49910.6032,63752.1411,80407
11230,47496.1618,64348.0001,88449
11231,73074.9877,95031.0349,33174
11232,34807.855,45833.5755,22177
11233,35422.5954,45326.9526,63541
11234,67952.9473,77076.9976,81033
11235,44729.671,60543.4611,79197
11236,59567.5509,69801.3086,94098
11237,35354.7791,43843.8726,48837
11238,61468.5107,79249.3305,49085
11239,24882.1176,33974.7284,14621
11354,50019.4132,63008.7787,54286
11355,38623.9557,50392.9258,74434
11356,67807.8323,80098.4197,20443
11357,74096.6311,89656.8591,39650
11358,66312.1712,80188.7795,37044
11360,72853.7515,92444.6694,18363
11361,70983.2093,84895.5484,28648
11362,74826.6041,89962.6059,17509
11363,92955.3212,118589.1132,6849
11364,65776.5025,77366.7885,32272
11365,61097.32,73176.9635,37503
11366,76377.4039,93826.2191,13795
11367,53564.6755,67846.4708,39791
11368,43962.6552,54259.4037,95662
11369,54732.4966,65142.6645,37429
11370,37573.9334,49034.4878,28920
11372,48149.0729,58610.2188,70946
11373,44301.174,56732.7671,99884
11374,49707.9331,65129.5937,39224
11375,69446.0737,89704.2477,70142
11377,49978.8076,60262.6681,87015
11378,59362.7033,68915.0458,33487
11379,61824.3232,76167.0077,33886
11385,47469.8714,57794.7135,95262
11411,69131.5808,79342.336,17909
11412,67395.5987,77263.7438,36433
11413,77058.1467,84085.1138,39571
11414,70964.8067,84305.5087,28120
11415,55983.3512,70069.1331,19423
11416,46712.5556,58913.822,21053
11417,56102.9338,66183.1157,28748
11418,57063.3834,66711.6469,36587
11419,49705.3095,59641.8032,44065
11420,55055.5659,66550.7443,41750
11421,55093.7928,66525.3233,37664
11422,68822.9027,76688.5883,26308
11423,64756.1233,79561.114,31575
11424,61900,74277,467
11425,70284,73553,26
11426,74452.1944,87041.2389,17445
11427,57224.3848,67493.9428,21275
11428,71126.5564,85683.6821,20923
11429,72714.1372,82272.7741,27816
11430,50483.3,54620.468,197
11432,50291.2065,64694.3772,54915
11433,41780.0631,54771.0096,28391
11434,51640.5104,59039.1065,52603
11435,44721.7965,52869.8387,47317
11436,62297.1561,69595.4619,18291
11501,78422.7357,90983.3234,19466
11507,103383.8048,138519.3598,7526
11509,106773,149930,2852
11510,99077.2476,110669.9613,32552
11514,84511,93244,4904
11516,93264.1442,121947.0192,6997
11518,89714.9155,104191.3025,11158
11520,68767.7975,86328.4455,44329
11530,127418.4493,187098.0636,26753
11542,77618.4334,102383.9992,27205
11545,152909.0299,228119.4806,12081
11547,114409.0368,141451.8388,644
11548,213520.235,316061.5786,2445
11550,57385.252,69315.2553,58967
11552,93065.3843,110130.9488,23354
11553,71092.8226,81498.6664,23540
11554,87598.167,98758.5002,37455
11556,73445,83012,13
11557,113487.1765,154468.6971,8053
11558,85182.7741,100774.4161,8553
11559,112232.7605,152353.0813,8100
11560,102206.253,180639.7454,6812
11561,85039.0011,104803.6703,39648
11563,87861.1118,99384.3546,23227
11565,115184.1002,126075.8382,9088
11566,120360.1727,136668.8701,35616
11568,195603.5405,350580.239,3995
11569,112545,160280,1502
11570,112071.3515,144505.8626,27303
11572,97595.5095,111622.8171,31236
11575,67576.2876,79362.6506,15785
11576,156674.4419,235578.7314,12885
11577,131919.3969,163808.7034,11274
11579,99100.8146,127226.8542,5148
11580,85371.6072,97785.7634,37887
11581,93231.165,104291.4815,20192
11590,87976.935,101421.901,42593
11596,108681.7696,133563.4307,10492
11598,131334.806,180669.8672,13170
11691,35645.3949,51204.389,54005
11692,42385.4913,53663.5965,15850
11693,54873.713,65333.225,11120
11694,75157.2154,89574.9242,19299
11697,82290.534,101499.855,4206
11701,65926.6088,81012.3993,25654
11702,95476.7434,116529.4915,15125
11703,82421.4878,90997.3854,16656
11704,79200.4947,87881.7357,40355
11705,92356.3504,101900.85,8237
11706,74856.0142,88722.1437,59946
11709,84099.8856,116288.948,7134
11710,107780.7397,121845.9456,34790
11713,77828.8708,93247.1668,8743
11714,87906.3964,107529.1483,22950
11715,89807.9461,98329.3851,4591
11716,95943.5638,106568.4028,10434
11717,70191.4625,79045.6549,51889
11718,124722,140354,3248
11719,82187.9178,92651.1214,3337
11720,91188.5941,101569.4664,27633
11721,102307.9962,128460.7884,6254
11722,69656.7748,77956.6348,32268
11724,139282.8882,199745.642,3109
11725,107563.6292,124879.2474,29570
11726,70309.6232,80679.6135,18376
11727,79879.6073,93184.1332,26192
11729,79371.2015,87394.7998,27852
11730,91841.8339,126755.8812,14798
11731,100243.6692,115414.2429,30489
11732,118206.06,147944.4959,3539
11733,125382.7043,153051.7043,17976
11735,88756.7866,103542.6285,32358
11738,82334.8983,93651.9049,17439
11739,173438,183585,1256
11740,92303.6733,115900.87,9227
11741,95240.9587,102911.3085,28352
11742,84777.36,97119.3823,11697
11743,119062.3294,162373.6335,41964
11746,105002.2718,128444.2792,63286
11747,108881.2321,146664.3986,16103
11749,91497.1521,91445.3032,3047
11751,90014.9996,99026.6857,15107
11752,87162.472,97839.0932,10013
11753,142621.2829,185686.2407,11670
11754,92734.6465,106377.8402,18983
11755,90611.8227,106684.1597,11333
11756,91413.2547,103558.7113,44007
11757,83838.159,94303.7394,46552
11758,106935.2582,119730.7216,56207
11762,105851.8188,123073.3594,23056
11763,86519.3463,91627.9198,24866
11764,111468.3215,126437.7774,11116
11765,131250,285080,567
11766,112406.4745,130622.0732,9613
11767,107042.522,116834.2205,13725
11768,114683.2802,156116.1657,22039
11769,85270.989,101549.3233,9727
11770,62031,128906,161
11771,121983.7179,182848.2482,10076
11772,66823.3895,75767.4713,42071
11776,82520.5252,97877.9482,22269
11777,101591.294,130958.1365,9054
11778,78939.6079,86453.1315,11738
11779,85987.2133,95607.9087,38425
11780,104936.4529,130940.2505,15422
11782,97017.5361,109006.864,15721
11783,102422.3858,117033.0361,22063
11784,73739.882,82513.1812,25049
11786,112173.7014,122637.6585,5933
11787,110137.062,130812.7102,34277
11788,97670.9687,113159.8663,16528
11789,80796.8048,95044.8204,7345
11790,108211.7182,121840.245,17609
11791,136222.8328,181354.3802,24735
11792,104157.8256,111925.0836,7511
11793,105568.0258,121682.3493,32494
11794,60167,51568,3200
11795,99994.201,118972.4521,27089
11796,88052.6108,97094.3109,3865
11797,139208.8073,190162.8044,9111
11798,67938.3496,75149.2911,14796
11801,86200.7507,103355.6569,39393
11803,116390.6501,137076.5808,27719
11804,109050,133622,4942
11901,58528.2758,73673.1433,22490
11930,72175,90684,1299
11931,77663,89576,180
11932,94588.698,162762.714,1417
11933,79401.6094,92800.8325,5970
11934,76051.5976,98045.0646,6548
11935,78765.5425,102632.97,3383
11937,79892.8717,129902.2358,13215
11939,66193,93668,776
11940,90241.0363,126445.7226,4382
11941,79351.7814,107783.7975,1568
11942,81471.6237,111984.724,3985
11944,56250.0707,82387.346,3663
11946,63450.4571,83583.8383,12798
11947,77663,89576,309
11948,90243.4035,101532.385,803
11949,86594.5512,105474.8644,11362
11950,76802.119,81840.3334,14834
11951,70904.6052,71327.9272,12865
11952,90734.1537,102131.6068,4559
11953,65320.1607,75870.3236,12191
11954,69917.6774,92271.5236,3844
11955,69802.8052,85751.365,2672
11956,78359,102650,328
11957,66193,93668,709
11958,77933.2624,102206.5043,543
11959,83144.1864,107260.6078,1022
11960,75522,103774,1144
11961,68939.0754,80860.1896,12389
11962,94770,163919,445
11963,91015.5894,156503.252,6644
11964,71384,93973,1736
11965,71384,93973,489
11967,82569.7749,86509.8901,24613
11968,74487.3198,154825.379,11830
11970,77663,89576,473
11971,70996.5185,95009.3253,5577
11972,75353.151,107626.648,1126
11975,93111.5162,168344.0788,394
11976,89905.484,147241.0736,1955
11977,97953.8624,129727.8064,2408
11978,82515.817,127980.2403,3421
11980,84579.2768,89629.8211,4305
12007,68165,73708,89
12008,71667,80919,424
12009,68447.809,84139.5857,7459
12010,42485.3081,53633.0032,25949
12015,4809.5047,6417.9379,277
12017,66723.1949,96400.2414,382
12018,70812.5018,80223.9926,7393
12019,84968.6372,97506.1269,13358
12020,57471.6637,65897.9412,24363
12022,57321,62944,1008
12023,64864.9956,71716.1834,2119
12024,75954,113441,23
12025,53759.855,74574.0366,5312
12027,75086.8658,82190.8703,3528
12028,55629.245,65791.0307,1307
12029,72991.8418,96504.147,1368
12032,50697.9785,61631.8964,956
12033,77276.4501,84714.9586,7828
12035,49932.014,64200.752,672
12036,44734.2985,52812.899,267
12037,61861.3428,91310.0734,3781
12040,57321,62944,84
12041,67785,103358,412
12042,49989.3666,63422.9514,285
12043,23043.3316,32418.8503,4619
12045,68165,73708,752
12046,67693.0239,73542.216,920
12047,47340.7802,57002.7084,18181
12051,40500.7372,48368.4219,5365
12052,65531.8367,72011.7119,1368
12053,72748.8253,79322.0545,4366
12054,89452.9888,105318.4037,15554
12056,76634.074,82681.9855,2171
12057,44286.1202,53605.0969,1842
12058,49232.8628,67619.9871,1397
12059,65996.1531,72010.0188,1703
12060,69241.1649,93021.3473,1391
12061,76605.7618,89233.5197,8223
12062,61042.2846,74444.0214,1736
12063,63234,75226,330
12064,43733.233,51378.422,530
12065,74934.7544,90235.036,38743
12066,57982.7379,69626.3493,2244
12067,69404.3384,99845.7812,1675
12068,50376.9444,61838.7621,3277
12069,53873,63263,245
12070,54988.242,68531.334,1477
12071,47545,55838,254
12072,54670.4,65606.47,2499
12074,67455.557,80517.469,2973
12075,51161.8032,75655.2956,3252
12076,51808.021,60349.2851,1378
12077,82111.5676,94696.4202,5982
12078,39631.5953,49695.8481,23612
